model,roc_auc,pr_auc,f1,precision,recall,threshold,fpr,params,best_epoch,train_s
mlp,0.7247,0.1347,0.1337,0.1462,0.1232,0.9268,0.041,7297,200,56.3
mlp,0.7257,0.1504,0.1633,0.1677,0.1591,0.9476,0.0449,7297,200,54.6
mlp,0.7183,0.1284,0.1361,0.1494,0.1251,0.9452,0.0406,7297,196,56.1
gcn,0.6827,0.1273,0.0884,0.0949,0.0828,0.9428,0.045,7297,200,82.8
gcn,0.6868,0.1346,0.0934,0.104,0.0847,0.9386,0.0415,7297,200,82.2
gcn,0.6841,0.1315,0.0893,0.0996,0.081,0.9234,0.0417,7297,192,81.8
gat,0.7,0.1258,0.1941,0.162,0.2422,0.9653,0.0714,7945,178,159.9
gat,0.7295,0.1393,0.2254,0.1701,0.3338,0.9179,0.0927,7945,200,159.2
gat,0.7237,0.1244,0.2079,0.1648,0.2815,0.9492,0.0812,7945,200,159.4
graphsage,0.8484,0.3476,0.3111,0.2175,0.5462,0.9521,0.1119,14465,19,19.8
graphsage,0.8161,0.2239,0.2447,0.1811,0.3771,0.9538,0.0971,14465,25,22.0
graphsage,0.8258,0.2425,0.2603,0.1916,0.4057,0.9446,0.0975,14465,19,18.0
gin,0.7018,0.0977,0.0152,0.0339,0.0098,0.7911,0.016,40323,59,37.3
gin,0.6972,0.1124,0.0861,0.1165,0.0682,0.5484,0.0295,40323,17,19.7
gin,0.7138,0.104,0.0043,0.0114,0.0027,0.9362,0.0131,40323,88,49.8
